Halb,engine_type,map_model,Vehicle_Type,Month,total_demand
80401979,E483_BS3_DSL,10.90-Modular-P/stg,LMD,01/04/2024,0
80401979,E483_BS3_DSL,10.90-Modular-P/stg,LMD,01/05/2024,0
80401979,E483_BS3_DSL,10.90-Modular-P/stg,LMD,01/06/2024,0
80401979,E483_BS3_DSL,10.90-Modular-P/stg,LMD,01/07/2024,5
80401979,E483_BS3_DSL,10.90-Modular-P/stg,LMD,01/08/2024,0
80401979,E483_BS3_DSL,10.90-Modular-P/stg,LMD,01/09/2024,0
80401979,E483_BS3_DSL,10.90-Modular-P/stg,LMD,01/10/2024,0
80401979,E483_BS3_DSL,10.90-Modular-P/stg,LMD,01/11/2024,0
80401979,E483_BS3_DSL,10.90-Modular-P/stg,LMD,01/12/2024,0
80401979,E483_BS3_DSL,10.90-Modular-P/stg,LMD,01/01/2025,0
80401979,E483_BS3_DSL,10.90-Modular-P/stg,LMD,01/02/2025,0
80401979,E483_BS3_DSL,10.90-Modular-P/stg,LMD,01/03/2025,0
80600311,E694_BS4_DSL,20.15 cowl,Bus,01/04/2023,0
80600311,E694_BS4_DSL,20.15 cowl,Bus,01/05/2023,0
80600311,E694_BS4_DSL,20.15 cowl,Bus,01/06/2023,0
80600311,E694_BS4_DSL,20.15 cowl,Bus,01/07/2023,0
80600311,E694_BS4_DSL,20.15 cowl,Bus,01/08/2023,0
80600311,E694_BS4_DSL,20.15 cowl,Bus,01/09/2023,0
80600311,E694_BS4_DSL,20.15 cowl,Bus,01/10/2023,0
80600311,E694_BS4_DSL,20.15 cowl,Bus,01/11/2023,0
80600311,E694_BS4_DSL,20.15 cowl,Bus,01/12/2023,0
80600311,E694_BS4_DSL,20.15 cowl,Bus,01/01/2024,0
80600311,E694_BS4_DSL,20.15 cowl,Bus,01/02/2024,0
80600311,E694_BS4_DSL,20.15 cowl,Bus,01/03/2024,0
80600311,E694_BS4_DSL,20.15 cowl,Bus,01/04/2024,0
80600311,E694_BS4_DSL,20.15 cowl,Bus,01/05/2024,0
80600311,E694_BS4_DSL,20.15 cowl,Bus,01/06/2024,0
80600311,E694_BS4_DSL,20.15 cowl,Bus,01/07/2024,0
80600311,E694_BS4_DSL,20.15 cowl,Bus,01/08/2024,0
80600311,E694_BS4_DSL,20.15 cowl,Bus,01/09/2024,0
80600311,E694_BS4_DSL,20.15 cowl,Bus,01/10/2024,0
80600311,E694_BS4_DSL,20.15 cowl,Bus,01/11/2024,0
80600311,E694_BS4_DSL,20.15 cowl,Bus,01/12/2024,0
80600311,E694_BS4_DSL,20.15 cowl,Bus,01/01/2025,0
80600311,E694_BS4_DSL,20.15 cowl,Bus,01/02/2025,0
80600311,E694_BS4_DSL,20.15 cowl,Bus,01/03/2025,0
80600311,E694_BS4_DSL,20.15-LPO,Bus,01/04/2023,0
80600311,E694_BS4_DSL,20.15-LPO,Bus,01/05/2023,0
80600311,E694_BS4_DSL,20.15-LPO,Bus,01/06/2023,0
80600311,E694_BS4_DSL,20.15-LPO,Bus,01/07/2023,0
80600311,E694_BS4_DSL,20.15-LPO,Bus,01/08/2023,0
80600311,E694_BS4_DSL,20.15-LPO,Bus,01/09/2023,0
80600311,E694_BS4_DSL,20.15-LPO,Bus,01/10/2023,0
80600311,E694_BS4_DSL,20.15-LPO,Bus,01/11/2023,0
80600311,E694_BS4_DSL,20.15-LPO,Bus,01/12/2023,0
80600311,E694_BS4_DSL,20.15-LPO,Bus,01/01/2024,0
80600311,E694_BS4_DSL,20.15-LPO,Bus,01/02/2024,0
80600311,E694_BS4_DSL,20.15-LPO,Bus,01/03/2024,0
80600311,E694_BS4_DSL,20.15-LPO,Bus,01/04/2024,0
80600311,E694_BS4_DSL,20.15-LPO,Bus,01/05/2024,4
80600311,E694_BS4_DSL,20.15-LPO,Bus,01/06/2024,0
80600311,E694_BS4_DSL,20.15-LPO,Bus,01/07/2024,0
80600311,E694_BS4_DSL,20.15-LPO,Bus,01/08/2024,0
80600311,E694_BS4_DSL,20.15-LPO,Bus,01/09/2024,0
80600311,E694_BS4_DSL,20.15-LPO,Bus,01/10/2024,0
80600311,E694_BS4_DSL,20.15-LPO,Bus,01/11/2024,0
80600311,E694_BS4_DSL,20.15-LPO,Bus,01/12/2024,0
80600311,E694_BS4_DSL,20.15-LPO,Bus,01/01/2025,0
80600311,E694_BS4_DSL,20.15-LPO,Bus,01/02/2025,0
80600311,E694_BS4_DSL,20.15-LPO,Bus,01/03/2025,0
80601107,MDE5_EU3_DSL,Pro 6016-PREMIUM,HD,01/04/2023,0
80601107,MDE5_EU3_DSL,Pro 6016-PREMIUM,HD,01/05/2023,0
80601107,MDE5_EU3_DSL,Pro 6016-PREMIUM,HD,01/06/2023,0
80601107,MDE5_EU3_DSL,Pro 6016-PREMIUM,HD,01/07/2023,0
80601107,MDE5_EU3_DSL,Pro 6016-PREMIUM,HD,01/08/2023,0
80601107,MDE5_EU3_DSL,Pro 6016-PREMIUM,HD,01/09/2023,2
80601107,MDE5_EU3_DSL,Pro 6016-PREMIUM,HD,01/10/2023,0
80601107,MDE5_EU3_DSL,Pro 6016-PREMIUM,HD,01/11/2023,0
80601107,MDE5_EU3_DSL,Pro 6016-PREMIUM,HD,01/12/2023,0
80601107,MDE5_EU3_DSL,Pro 6016-PREMIUM,HD,01/01/2024,0
80601107,MDE5_EU3_DSL,Pro 6016-PREMIUM,HD,01/02/2024,0
80601107,MDE5_EU3_DSL,Pro 6016-PREMIUM,HD,01/03/2024,0
80601107,MDE5_EU3_DSL,Pro 6016-PREMIUM,HD,01/04/2024,0
80601107,MDE5_EU3_DSL,Pro 6016-PREMIUM,HD,01/05/2024,0
80601107,MDE5_EU3_DSL,Pro 6016-PREMIUM,HD,01/06/2024,0
80601107,MDE5_EU3_DSL,Pro 6016-PREMIUM,HD,01/07/2024,0
80601107,MDE5_EU3_DSL,Pro 6016-PREMIUM,HD,01/08/2024,0
80601107,MDE5_EU3_DSL,Pro 6016-PREMIUM,HD,01/09/2024,0
80601107,MDE5_EU3_DSL,Pro 6016-PREMIUM,HD,01/10/2024,0
80601107,MDE5_EU3_DSL,Pro 6016-PREMIUM,HD,01/11/2024,0
80601107,MDE5_EU3_DSL,Pro 6016-PREMIUM,HD,01/12/2024,0
80601107,MDE5_EU3_DSL,Pro 6016-PREMIUM,HD,01/01/2025,0
80601107,MDE5_EU3_DSL,Pro 6016-PREMIUM,HD,01/02/2025,0
